timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size
1696514670.8027318,10.0.0.5,10.0.0.1,1999,54524,6,66
1696514670.9107716,10.0.0.5,10.0.0.3,0,0,1,70
1696514671.0226078,10.0.0.1,10.0.0.4,50005,3479,17,183
1696514671.0985923,10.0.0.1,10.0.0.3,44734,443,6,62
1696514671.214701,10.0.0.1,10.0.0.4,43332,3128,6,62
1696514671.3146503,10.0.0.5,10.0.0.2,61554,443,6,85
1696514671.4586146,10.0.0.5,10.0.0.4,443,54447,6,1063
1696514671.5627024,10.0.0.2,10.0.0.1,58884,8087,6,62
1696514671.6986923,10.0.0.4,10.0.0.5,48661,9899,6,62
1696514671.79058,10.0.0.2,10.0.0.3,47714,80,6,66
1696514671.8748055,10.0.0.4,10.0.0.2,29210,53,6,62
1696514671.9827816,10.0.0.1,10.0.0.4,993,52910,6,62
1696514672.082664,10.0.0.5,10.0.0.4,0,0,1,62
1696514672.1826613,10.0.0.5,10.0.0.2,10385,8053,6,62
1696514672.3105798,10.0.0.4,10.0.0.2,58884,8087,6,67
1696514672.4147277,10.0.0.3,10.0.0.5,61429,443,6,62
1696514672.514741,10.0.0.5,10.0.0.4,0,0,47,1514
1696514672.6187265,10.0.0.1,10.0.0.4,5812,443,6,62
1696514672.7107005,10.0.0.3,10.0.0.5,9320,443,6,62
1696514672.7907195,10.0.0.2,10.0.0.1,0,0,47,1514
1696514672.942745,10.0.0.1,10.0.0.3,873,38455,6,1514
1696514673.0587344,10.0.0.2,10.0.0.1,5353,13016,6,66
1696514673.178757,10.0.0.2,10.0.0.4,0,0,1,70
1696514673.278709,10.0.0.3,10.0.0.4,20389,434,6,62
1696514673.3987331,10.0.0.3,10.0.0.2,873,38455,6,1514
1696514673.4946246,10.0.0.1,10.0.0.5,5353,13016,6,66
1696514673.5786266,10.0.0.1,10.0.0.2,5353,47081,6,66
1696514673.7066407,10.0.0.1,10.0.0.4,5353,47081,6,66
1696514673.8227322,10.0.0.5,10.0.0.4,16285,32877,17,172
1696514673.9347415,10.0.0.5,10.0.0.4,31196,80,6,62
1696514674.0786421,10.0.0.3,10.0.0.5,434,40762,6,66
1696514674.2105684,10.0.0.2,10.0.0.3,122,6734,6,66
1696514674.3067229,10.0.0.4,10.0.0.3,8443,9417,6,66
1696514674.4307394,10.0.0.1,10.0.0.5,434,40762,6,66
1696514674.5347397,10.0.0.4,10.0.0.3,8443,9417,6,66
1696514674.6347013,10.0.0.2,10.0.0.5,51042,53,17,86
1696514674.7347512,10.0.0.4,10.0.0.5,122,6734,6,66
1696514674.830711,10.0.0.1,10.0.0.4,3074,22465,6,66
1696514674.9266732,10.0.0.4,10.0.0.5,3074,22465,6,66
1696514675.0347514,10.0.0.5,10.0.0.1,49603,130,6,62
1696514675.1547709,10.0.0.1,10.0.0.3,8443,9258,6,66
1696514675.2547224,10.0.0.1,10.0.0.3,47714,80,6,66
1696514675.326568,10.0.0.4,10.0.0.1,59022,2332,6,216
1696514675.47076,10.0.0.1,10.0.0.3,60283,4321,6,62
1696514675.5787368,10.0.0.5,10.0.0.2,0,0,1,70
1696514675.6667438,10.0.0.2,10.0.0.3,8080,59943,6,66
1696514675.7427065,10.0.0.2,10.0.0.1,8443,9258,6,66
1696514675.8467233,10.0.0.1,10.0.0.3,53,58757,6,66
