timestamp,src_ip,dst_ip,src_port,dst_port,protocol,pkt_size,predicted_timeout
1694891130.6624708,10.0.0.1,10.0.0.3,1999,54524,6,58,5
1694891130.6637657,10.0.0.3,10.0.0.1,54524,1999,6,54,1
1694891130.7826643,10.0.0.3,10.0.0.4,0,0,17,50,1
1694891130.7844458,10.0.0.4,10.0.0.3,0,0,1,78,1
1694891130.8824825,10.0.0.4,10.0.0.1,0,0,1,163,1
1694891130.8841927,10.0.0.1,10.0.0.4,0,0,1,163,1
1694891130.9606113,10.0.0.3,10.0.0.1,44734,443,6,54,11
1694891130.9620855,10.0.0.1,10.0.0.3,443,44734,6,54,5
1694891131.0503914,10.0.0.4,10.0.0.2,43332,3128,6,54,11
1694891131.052096,10.0.0.2,10.0.0.4,3128,43332,6,54,1
1694891131.15679,10.0.0.4,10.0.0.3,61554,443,6,77,5
1694891131.1584082,10.0.0.3,10.0.0.4,443,61554,6,54,5
1694891131.2567675,10.0.0.1,10.0.0.4,443,54447,6,1055,5
1694891131.2584937,10.0.0.4,10.0.0.1,54447,443,6,54,1
1694891131.3526886,10.0.0.4,10.0.0.2,58884,8087,6,54,1
1694891131.354045,10.0.0.2,10.0.0.4,8087,58884,6,54,1
1694891131.4746475,10.0.0.5,10.0.0.4,48661,9899,6,54,5
1694891131.4767296,10.0.0.4,10.0.0.5,9899,48661,6,54,1
1694891131.6105309,10.0.0.3,10.0.0.2,47714,80,6,58,1
1694891131.6121714,10.0.0.2,10.0.0.3,80,47714,6,54,1
1694891131.7142873,10.0.0.5,10.0.0.3,29210,53,6,54,11
1694891131.7156358,10.0.0.3,10.0.0.5,53,29210,6,54,5
1694891131.796682,10.0.0.4,10.0.0.3,993,52910,6,54,1
1694891131.798269,10.0.0.3,10.0.0.4,52910,993,6,54,1
1694891131.9206471,10.0.0.3,10.0.0.1,0,0,17,42,1
1694891131.9222162,10.0.0.1,10.0.0.3,0,0,1,70,11
1694891132.0526698,10.0.0.4,10.0.0.1,10385,8053,6,54,11
1694891132.0541716,10.0.0.1,10.0.0.4,8053,10385,6,54,1
1694891132.132702,10.0.0.5,10.0.0.3,58884,8087,6,59,1
1694891132.1341715,10.0.0.3,10.0.0.5,8087,58884,6,54,1
1694891132.2487419,10.0.0.4,10.0.0.1,61429,443,6,54,11
1694891132.250349,10.0.0.1,10.0.0.4,443,61429,6,54,5
1694891132.3808475,10.0.0.4,10.0.0.3,0,0,17,1494,1
1694891132.3826296,10.0.0.3,10.0.0.4,0,0,1,590,1
1694891132.4901621,10.0.0.5,10.0.0.2,5812,443,6,54,11
1694891132.49147,10.0.0.2,10.0.0.5,443,5812,6,54,11
1694891132.5766764,10.0.0.4,10.0.0.3,9320,443,6,54,11
1694891132.5783906,10.0.0.3,10.0.0.4,443,9320,6,54,5
1694891132.6807353,10.0.0.4,10.0.0.5,0,0,17,1494,1
1694891132.682164,10.0.0.5,10.0.0.4,0,0,1,590,1
1694891132.7727685,10.0.0.2,10.0.0.4,873,38455,6,1506,11
1694891132.7743435,10.0.0.4,10.0.0.2,38455,873,6,54,11
1694891132.8503246,10.0.0.2,10.0.0.1,5353,13016,6,58,5
1694891132.8519993,10.0.0.1,10.0.0.2,13016,5353,6,54,11
1694891132.9766564,10.0.0.5,10.0.0.2,0,0,17,50,1
1694891132.978247,10.0.0.2,10.0.0.5,0,0,1,78,1
1694891133.1167374,10.0.0.3,10.0.0.5,20389,434,6,54,11
1694891133.118194,10.0.0.5,10.0.0.3,434,20389,6,54,5
1694891133.2246737,10.0.0.2,10.0.0.3,873,38455,6,1506,11
1694891133.2262459,10.0.0.3,10.0.0.2,38455,873,6,54,11
1694891133.3247056,10.0.0.1,10.0.0.4,5353,13016,6,58,5
1694891133.3264642,10.0.0.4,10.0.0.1,13016,5353,6,54,11
1694891133.4207375,10.0.0.2,10.0.0.1,5353,47081,6,58,5
1694891133.4224944,10.0.0.1,10.0.0.2,47081,5353,6,54,1
1694891133.5330439,10.0.0.3,10.0.0.5,5353,47081,6,58,5
1694891133.5348938,10.0.0.5,10.0.0.3,47081,5353,6,54,1
1694891133.6168315,10.0.0.3,10.0.0.1,0,0,1,152,1
1694891133.730232,10.0.0.1,10.0.0.5,31196,80,6,54,11
1694891133.7318115,10.0.0.5,10.0.0.1,80,31196,6,54,5
1694891133.8288183,10.0.0.2,10.0.0.4,434,40762,6,58,5
1694891133.8306022,10.0.0.4,10.0.0.2,40762,434,6,54,11
1694891133.9248137,10.0.0.3,10.0.0.2,122,6734,6,58,5
1694891133.9266624,10.0.0.2,10.0.0.3,6734,122,6,54,11
1694891134.0248077,10.0.0.5,10.0.0.2,8443,9417,6,58,1
1694891134.0267522,10.0.0.2,10.0.0.5,9417,8443,6,54,11
1694891134.108634,10.0.0.2,10.0.0.5,434,40762,6,58,5
1694891134.1103055,10.0.0.5,10.0.0.2,40762,434,6,54,11
1694891134.2126467,10.0.0.1,10.0.0.4,8443,9417,6,58,1
1694891134.214062,10.0.0.4,10.0.0.1,9417,8443,6,54,11
1694891134.3125732,10.0.0.4,10.0.0.1,0,0,1,66,5
1694891134.3141146,10.0.0.1,10.0.0.4,0,0,1,66,5
1694891134.4646857,10.0.0.3,10.0.0.1,122,6734,6,58,5
1694891134.4661582,10.0.0.1,10.0.0.3,6734,122,6,54,11
1694891134.5766513,10.0.0.2,10.0.0.4,3074,22465,6,58,5
1694891134.5782003,10.0.0.4,10.0.0.2,22465,3074,6,54,11
1694891134.6927114,10.0.0.1,10.0.0.2,3074,22465,6,58,5
1694891134.6944346,10.0.0.2,10.0.0.1,22465,3074,6,54,11
1694891134.840824,10.0.0.5,10.0.0.2,49603,130,6,54,1
1694891134.8426785,10.0.0.2,10.0.0.5,130,49603,6,54,5
1694891134.933044,10.0.0.4,10.0.0.2,8443,9258,6,58,1
1694891134.9348402,10.0.0.2,10.0.0.4,9258,8443,6,54,11
1694891135.0570228,10.0.0.2,10.0.0.3,47714,80,6,58,1
1694891135.058847,10.0.0.3,10.0.0.2,80,47714,6,54,1
1694891135.1848032,10.0.0.3,10.0.0.2,59022,2332,6,208,5
1694891135.1865964,10.0.0.2,10.0.0.3,2332,59022,6,54,1
1694891135.2967947,10.0.0.3,10.0.0.2,60283,4321,6,54,1
1694891135.2985952,10.0.0.2,10.0.0.3,4321,60283,6,54,1
1694891135.4328132,10.0.0.5,10.0.0.3,0,0,17,50,1
1694891135.4345727,10.0.0.3,10.0.0.5,0,0,1,78,1
1694891135.5408363,10.0.0.4,10.0.0.1,8080,59943,6,58,5
1694891135.5426662,10.0.0.1,10.0.0.4,59943,8080,6,54,1
1694891135.640584,10.0.0.3,10.0.0.2,8443,9258,6,58,1
1694891135.6423984,10.0.0.2,10.0.0.3,9258,8443,6,54,11
1694891135.7807124,10.0.0.1,10.0.0.2,53,58757,6,58,5
1694891135.7822719,10.0.0.2,10.0.0.1,58757,53,6,54,1
1694891135.8767774,10.0.0.4,10.0.0.3,0,0,17,50,1
1694891135.8785064,10.0.0.3,10.0.0.4,0,0,1,78,1
1694891135.9967375,10.0.0.5,10.0.0.2,53,58757,6,58,5
1694891135.9982078,10.0.0.2,10.0.0.5,58757,53,6,54,1
1694891136.104997,10.0.0.5,10.0.0.3,0,0,1,118,1
1694891136.2287085,10.0.0.5,10.0.0.2,443,46041,6,58,5
1694891136.2302406,10.0.0.2,10.0.0.5,46041,443,6,54,11
1694891136.3368099,10.0.0.4,10.0.0.1,443,46041,6,58,5
1694891136.3387115,10.0.0.1,10.0.0.4,46041,443,6,54,11
1694891136.4488542,10.0.0.1,10.0.0.2,8080,59943,6,58,5
1694891136.4507637,10.0.0.2,10.0.0.1,59943,8080,6,54,1
1694891136.552708,10.0.0.4,10.0.0.5,52541,80,6,54,1
1694891136.5541773,10.0.0.5,10.0.0.4,80,52541,6,54,5
1694891136.6406891,10.0.0.5,10.0.0.4,3478,39831,6,58,5
1694891136.642234,10.0.0.4,10.0.0.5,39831,3478,6,54,11
1694891136.732676,10.0.0.3,10.0.0.1,8443,28242,6,58,5
1694891136.7342162,10.0.0.1,10.0.0.3,28242,8443,6,54,11
1694891136.8284602,10.0.0.3,10.0.0.1,0,0,1,448,1
1694891136.9409149,10.0.0.4,10.0.0.2,3478,39831,6,58,5
1694891136.9428442,10.0.0.2,10.0.0.4,39831,3478,6,54,11
1694891137.0847762,10.0.0.1,10.0.0.3,8443,28242,6,58,5
1694891137.0862987,10.0.0.3,10.0.0.1,28242,8443,6,54,11
1694891137.188722,10.0.0.1,10.0.0.2,443,38500,6,58,5
1694891137.1901662,10.0.0.2,10.0.0.1,38500,443,6,54,11
1694891137.32486,10.0.0.2,10.0.0.3,80,51184,6,1506,11
1694891137.3266098,10.0.0.3,10.0.0.2,51184,80,6,54,1
1694891137.4167058,10.0.0.4,10.0.0.2,2632,52492,6,58,5
1694891137.4183836,10.0.0.2,10.0.0.4,52492,2632,6,54,1
1694891137.5328643,10.0.0.1,10.0.0.3,60320,443,6,77,5
1694891137.5346346,10.0.0.3,10.0.0.1,443,60320,6,54,5
1694891137.680946,10.0.0.5,10.0.0.2,12522,1030,6,54,11
1694891137.6826665,10.0.0.2,10.0.0.5,1030,12522,6,54,1
1694891137.8007157,10.0.0.4,10.0.0.3,443,38500,6,58,5
1694891137.802356,10.0.0.3,10.0.0.4,38500,443,6,54,11
1694891137.9328334,10.0.0.4,10.0.0.2,80,51184,6,1506,11
1694891137.9346507,10.0.0.2,10.0.0.4,51184,80,6,54,1
1694891138.0569625,10.0.0.1,10.0.0.5,443,38500,6,58,5
1694891138.0591402,10.0.0.5,10.0.0.1,38500,443,6,54,11
1694891138.1686804,10.0.0.2,10.0.0.3,8385,3478,6,54,11
1694891138.1705627,10.0.0.3,10.0.0.2,3478,8385,6,54,11
1694891138.280728,10.0.0.5,10.0.0.4,47791,2638,6,54,1
1694891138.2824724,10.0.0.4,10.0.0.5,2638,47791,6,54,1
1694891138.3728292,10.0.0.3,10.0.0.4,47714,80,6,58,1
1694891138.3745782,10.0.0.4,10.0.0.3,80,47714,6,54,1
1694891138.5128822,10.0.0.4,10.0.0.3,38186,8888,6,54,1
1694891138.514691,10.0.0.3,10.0.0.4,8888,38186,6,54,1
1694891138.616828,10.0.0.5,10.0.0.2,443,38500,6,58,5
1694891138.6185336,10.0.0.2,10.0.0.5,38500,443,6,54,11
1694891138.724806,10.0.0.5,10.0.0.1,2888,5353,6,54,11
1694891138.726193,10.0.0.1,10.0.0.5,5353,2888,6,54,11
1694891138.8166385,10.0.0.4,10.0.0.1,1024,23,6,54,1
1694891138.8179314,10.0.0.1,10.0.0.4,23,1024,6,54,11
1694891138.9447055,10.0.0.5,10.0.0.3,8443,38076,6,54,1
1694891138.9461555,10.0.0.3,10.0.0.5,38076,8443,6,54,11
1694891139.0607383,10.0.0.1,10.0.0.2,61429,443,6,54,11
1694891139.0621266,10.0.0.2,10.0.0.1,443,61429,6,54,5
1694891139.164734,10.0.0.2,10.0.0.3,0,0,17,82,1
1694891139.1666555,10.0.0.3,10.0.0.2,0,0,1,110,1
1694891139.3128548,10.0.0.2,10.0.0.1,0,0,1,160,1
1694891139.3147953,10.0.0.1,10.0.0.2,0,0,1,160,1
