time,last_occupancy,flows_added,idle_timeout_eviction,other_eviction,current_occupancy
1,0,2,0,0,2
2,2,6,0,0,8
3,8,4,0,3,9
4,9,6,0,2,13
5,13,2,4,0,11
6,11,6,0,1,16
7,16,6,2,4,16
8,16,4,6,2,12
9,12,4,0,0,16
10,16,4,4,0,16
11,16,2,0,0,18
12,18,4,0,2,20
13,20,4,2,0,22
14,22,4,0,0,26
15,26,4,4,0,26
16,26,2,0,0,28
17,28,2,0,0,30
18,30,4,2,0,32
19,32,6,2,0,36
20,36,8,0,4,40
21,40,4,0,4,40
22,40,6,0,5,41
23,41,6,0,6,41
24,41,6,6,3,38
25,38,4,6,1,35
26,35,6,0,4,37
27,37,4,0,4,37
28,37,4,6,0,35
29,35,6,0,5,36
30,36,4,0,4,36
31,36,6,0,3,39
32,39,4,4,2,37
33,37,4,0,4,37
34,37,4,0,4,37
35,37,8,0,4,41
36,41,2,0,2,41
37,41,6,0,2,45
38,45,4,2,1,46
39,46,4,0,0,50
40,50,2,4,0,48
41,48,4,0,0,52
42,52,8,0,6,54
43,54,8,0,5,57
44,57,4,0,4,57
45,57,4,0,1,60
46,60,4,0,0,64
47,64,0,0,6,58
